nama	kelas	n_pemakai	homograf_kbbi
Alatas	orang:nama-keluarga	5	tidak
Sugiarto	orang:nama-keluarga	5	tidak
Batubara	orang:nama-keluarga	5	tidak
Prasetyo	orang:nama-keluarga	5	tidak
Rahman	orang:nama-keluarga	5	ya
Hakim	orang:nama-keluarga	5	ya
Nainggolan	orang:nama-keluarga	5	tidak
Harahap	orang:nama-keluarga	5	tidak
Usman	orang:nama-keluarga	5	tidak
Simanjuntak	orang:nama-keluarga	5	tidak
Saleh	orang:nama-keluarga	5	ya
Oey	orang:nama-keluarga	5	tidak
Rose	orang:nama-keluarga	5	tidak
Tanoesoedibjo	orang:nama-keluarga	5	tidak
Sulistyo	orang:nama-keluarga	5	tidak
Pohan	orang:nama-keluarga	5	tidak
Teuku	orang:nama-keluarga	5	tidak
Pratiwi	orang:nama-keluarga	5	tidak
Maulana	orang:nama-keluarga	5	ya
Rahmawati	orang:nama-keluarga	5	tidak
Nicky	orang:nama-depan	4	tidak
Frank	orang:nama-depan	4	tidak
Martinus	orang:nama-depan	4	tidak
Fernando	orang:nama-depan	4	tidak
Jusuf	orang:nama-depan	4	tidak
Umar	orang:nama-depan	4	tidak
Taufik	orang:nama-depan	4	ya
Candra	orang:nama-depan	4	ya
Rahmat	orang:nama-depan	4	ya
Mona	orang:nama-depan	4	tidak
Leonard	orang:nama-depan	4	tidak
Nadine	orang:nama-depan	4	tidak
Jim	orang:nama-depan	4	ya
Yunita	orang:nama-depan	4	tidak
Ester	orang:nama-depan	4	ya
Franklin	orang:nama-depan	4	tidak
Fritz	orang:nama-depan	4	tidak
Gustaf	orang:nama-depan	4	tidak
Hidayat	orang:nama-depan	4	ya
Ian	orang:nama-depan	4	tidak
Indira	orang:nama-depan	4	tidak
Iqbal	orang:nama-depan	4	tidak
Ismet	orang:nama-depan	4	tidak
Jane	orang:nama-depan	4	tidak
Jason	orang:nama-depan	4	tidak
Jenny	orang:nama-depan	4	tidak
Jerry	orang:nama-depan	4	tidak
Brandon	orang:nama-depan	4	tidak
Cathy	orang:nama-depan	4	tidak
Clarissa	orang:nama-depan	4	tidak
Delia	orang:nama-depan	4	tidak
Ingrid	orang:nama-depan	4	tidak
Jeremy	orang:nama-depan	4	tidak
Kiki	orang:nama-depan	4	tidak
Abd al-Karīm	orang:nama-depan	4	tidak
Bernard	orang:nama-depan	4	tidak
Adriana	orang:nama-depan	4	tidak
Aida	orang:nama-depan	4	tidak
Alice	orang:nama-depan	4	tidak
Alyssa	orang:nama-depan	4	tidak
Lisa	orang:nama-depan	4	tidak
Dudi	orang:nama-depan	4	tidak
Erick	orang:nama-depan	4	tidak
Faisal	orang:nama-depan	4	tidak
Gerald	orang:nama-depan	4	tidak
Carolina	orang:nama-depan	4	tidak
Ario	orang:nama-depan	4	tidak
Benjamin	orang:nama-depan	4	tidak
Pierre	orang:nama-depan	4	tidak
Widodo	orang:nama-depan	4	tidak
Rustam	orang:nama-depan	4	tidak
Melissa	orang:nama-depan	4	tidak
Ririn	orang:nama-depan	4	tidak
Bram	orang:nama-depan	4	tidak
Carlo	orang:nama-depan	4	tidak
Charlie	orang:nama-depan	4	tidak
Daan	orang:nama-depan	4	tidak
Dendy	orang:nama-depan	4	tidak
Nelly	orang:nama-depan	4	tidak
Nia	orang:nama-depan	4	ya
Nicole	orang:nama-depan	4	tidak
Piet	orang:nama-depan	4	tidak
Vincent	orang:nama-depan	4	tidak
Jeff	orang:nama-depan	4	tidak
Mahmud	orang:nama-depan	4	ya
Arya	orang:nama-depan	4	ya
Eko	orang:nama-depan	4	tidak
Salman	orang:nama-depan	4	tidak
Josephine	orang:nama-depan	4	tidak
Tania	orang:nama-depan	4	ya
Helmi	orang:nama-depan	4	tidak
Theo	orang:nama-depan	4	tidak
Wendy	orang:nama-depan	4	tidak
Yasmine	orang:nama-depan	4	tidak
Rika	orang:nama-depan	4	tidak
Sebastian	orang:nama-depan	4	tidak
Anthony	orang:nama-depan	4	tidak
Habib	orang:nama-depan	4	ya
Dave	orang:nama-depan	4	tidak
Ni	orang:nama-depan	4	tidak
Emanuel	orang:nama-depan	4	tidak
Franciscus	orang:nama-depan	4	tidak
Sean	orang:nama-depan	4	tidak
Melani	orang:nama-depan	4	tidak
Husain	orang:nama-depan	4	tidak
Angela	orang:nama-depan	4	tidak
Roberto	orang:nama-depan	4	tidak
Lambertus	orang:nama-depan	4	tidak
Daisy	orang:nama-depan	4	tidak
Hary	orang:nama-depan	4	tidak
Robin	orang:nama-depan	4	tidak
Aura	orang:nama-depan	4	ya
Hendry	orang:nama-depan	4	tidak
Abigail	orang:nama-depan	4	tidak
Ferdian	orang:nama-depan	4	tidak
Gerard	orang:nama-depan	4	tidak
Nyoman	orang:nama-depan	4	ya
Dara	orang:nama-depan	4	ya
Aurelia	orang:nama-depan	4	tidak
Kristina	orang:nama-depan	4	tidak
P.	orang:nama-depan	4	tidak
