token	kelas	kbbi_pos	kbbi_semantic_class
danau	wilayah:kecamatan	Nomina	
dandi	orang:nama-depan	Nomina	
danurejan	wilayah:kecamatan	Nomina	proper
dapa	orang:nama-depan	Nomina	
dara	orang:nama-depan	Nomina	
darat	wilayah:kecamatan	Nomina	
darma	orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Nomina	
darus	wilayah:kecamatan		
data	organisasi:perusahaan		
datar	wilayah:kabupaten-kota,wilayah:kecamatan	Adjektiva	
dataran	wilayah:kecamatan	Nomina	
datuk	wilayah:kecamatan	Nomina	
daulat	wilayah:kecamatan	Nomina	
dawan	wilayah:kecamatan	Nomina	
daya	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan,wilayah:provinsi	Nomina	
dedai	wilayah:kecamatan	Adjektiva	
deiyai	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
delima	wilayah:kecamatan	Nomina	
delta	organisasi:perusahaan,wilayah:kecamatan	Nomina	
demak	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
demi	organisasi:perusahaan	Partikel	
demon	wilayah:kecamatan	Nomina	
dempet	wilayah:kecamatan	Adjektiva	
den	orang:nama-keluarga	Nomina	
dena	orang:nama-depan		
denai	wilayah:kecamatan	Nomina	
dendang	wilayah:kecamatan		
dendeng	orang:nama-keluarga	Nomina	
dendi	orang:nama-depan		
denpasar	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
depok	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
dera	orang:nama-depan	Nomina	
deras	wilayah:kecamatan	Adjektiva	
derek	orang:nama-depan	Nomina	
derivatif	organisasi:perusahaan	Adjektiva	
desa	wilayah:kecamatan	Nomina	
destinasi	organisasi:perusahaan	Nomina	
dewa	organisasi:perusahaan,wilayah:kecamatan	Nomina	
dewangga	orang:nama-depan,orang:nama-keluarga	Nomina	
dewata	organisasi:perusahaan	Nomina	
dewi	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Nomina	
dharmasraya	wilayah:kabupaten-kota	Nomina	proper
diah	orang:nama-depan,orang:nama-keluarga		
dian	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan	Nomina	
dias	orang:nama-keluarga	Nomina	
didik	orang:nama-depan	Verba	
diesel	organisasi:perusahaan	Nomina	
digital	organisasi:perusahaan	Adjektiva	
dikit	wilayah:kecamatan	Adjektiva	
din	orang:nama-depan	Nomina	
dina	orang:nama-depan		
dinamik	organisasi:perusahaan	Adjektiva	
dinamika	organisasi:perusahaan	Nomina	
dinar	orang:nama-depan	Nomina	
dinda	orang:nama-depan		
dini	orang:nama-depan,orang:nama-keluarga	Adjektiva	
distribusi	organisasi:perusahaan	Nomina	
dlingo	wilayah:kecamatan	Nomina	proper
dogiyai	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
dok	organisasi:perusahaan	Nomina	
doko	wilayah:kecamatan	Nomina	
dolat	wilayah:kecamatan		
dolok	wilayah:kecamatan	Nomina	
dompu	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
donald	orang:nama-depan	Nomina	proper
donggala	wilayah:kabupaten-kota	Nomina	proper
dragon	organisasi:perusahaan	Nomina	
dua	organisasi:perusahaan,wilayah:kecamatan		numeral
dukuh	wilayah:kecamatan	Nomina	
dukun	wilayah:kecamatan	Nomina	
dumai	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
dunia	organisasi:perusahaan	Nomina	
duren	wilayah:kecamatan		
duri	orang:nama-keluarga	Nomina	
durian	wilayah:kecamatan	Nomina	
dusun	wilayah:kecamatan	Nomina	
duta	orang:nama-keluarga,organisasi:perusahaan	Nomina	
efek	organisasi:perusahaan	Nomina	
efendi	orang:nama-depan,orang:nama-keluarga	Nomina	
ekosistem	organisasi:perusahaan	Nomina	
ekspres	organisasi:perusahaan	Adjektiva	
elang	organisasi:perusahaan	Nomina	
elektronik	organisasi:perusahaan	Nomina	
elo	orang:nama-keluarga	Nomina	
elok	orang:nama-depan	Adjektiva	
emas	wilayah:kecamatan	Nomina	
emir	orang:nama-depan	Nomina	
emiten	organisasi:perusahaan	Nomina	
empang	wilayah:kecamatan		
empat	wilayah:kabupaten-kota,wilayah:kecamatan		numeral
enam	organisasi:perusahaan		numeral
endang	orang:nama-depan	Nomina	
ende	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
energi	organisasi:perusahaan	Nomina	
enrekang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
era	organisasi:perusahaan	Nomina	
erik	orang:nama-depan	Verba	
esa	organisasi:perusahaan		
ester	orang:nama-depan	Nomina	
fajar	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Nomina	
fakfak	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
falah	wilayah:kecamatan		
fatah	orang:nama-keluarga	Nomina	
fatihah	orang:nama-depan	Nomina	
fatri	orang:nama-depan	Nomina	
federal	organisasi:perusahaan	Adjektiva	
fiber	organisasi:perusahaan	Nomina	
film	organisasi:perusahaan	Nomina	
